,yt_id,start_time,end_time,tag_strings,laughter
152,0BSidlvh4Ds,30.000,40.000,"['/m/01z5f', '/m/068hy', '/m/07r_k2n', '/m/07sq110', '/m/09x0r', '/m/0bt9lr', '/m/0jbk', '/t/dd00136']",True
153,0B_A43gA6fc,50.000,60.000,['/t/dd00001'],True
154,0C8veLHkEbo,90.000,100.000,"['/m/01j3sz', '/m/07r660_', '/m/09x0r']",True
155,0CGgu6doSis,40.000,50.000,"['/m/01j3sz', '/m/09x0r', '/t/dd00001']",True
156,0DJWWF-hB3g,80.000,90.000,"['/m/01j3sz', '/m/09x0r']",True
157,0DPHC547TJ8,16.000,26.000,"['/m/07rgt08', '/m/07s04w4']",True
158,0ELlA8EdtZw,0.000,10.000,"['/m/07r660_', '/m/07sq110', '/m/09x0r', '/m/0ytgt', '/t/dd00125']",True
159,0F5SIMpJm-g,6.000,16.000,"['/m/07r660_', '/m/09x0r']",True
160,0FjUUnrqgrM,0.000,10.000,"['/m/01j3sz', '/m/04rlf', '/m/09x0r']",True
161,0Fngxgd-WiE,200.000,210.000,['/m/01j3sz'],True
162,0G6OTYrqB2Y,30.000,40.000,"['/m/01j3sz', '/m/07r660_', '/m/07sq110', '/t/dd00001']",True
163,0GWqiMHUm0k,330.000,340.000,"['/m/01j3sz', '/m/09x0r', '/t/dd00125']",True
164,0GqM8a4BDRw,140.000,150.000,['/m/01j3sz'],True
165,0Gx233u7zSc,380.000,390.000,"['/m/07rgt08', '/m/09x0r']",True
166,0HGkvIbT9Zs,70.000,80.000,"['/m/07qlf79', '/m/07s04w4', '/m/09x0r']",True
167,0HVNUeYfpM8,80.000,90.000,"['/m/01j3sz', '/m/07rgt08', '/m/09x0r']",True
168,0HdxP-FaHE0,30.000,40.000,"['/m/04rlf', '/m/07rgt08', '/m/09x0r']",True
169,0I0ZyUPG7Wg,30.000,40.000,"['/m/01j3sz', '/m/04rlf']",True
170,0I9RAH6HVP0,360.000,370.000,"['/m/07rgt08', '/m/09x0r']",True
171,0IgdqvjI2u4,10.000,20.000,"['/m/07r660_', '/m/09x0r', '/t/dd00125']",True
172,0IpjEqzfvdY,90.000,100.000,"['/m/04rlf', '/m/07s04w4', '/m/09x0r']",True
173,0JYZbcIVgmE,180.000,190.000,"['/m/01j3sz', '/m/09x0r']",True
174,0K8shcuXLRI,20.000,30.000,"['/m/01j3sz', '/m/04rlf', '/m/07p6fty', '/m/09x0r']",True
175,0KcX9-GlME0,480.000,490.000,['/m/01j3sz'],True
176,0LLsGZ2zrPU,30.000,40.000,"['/m/04rlf', '/m/07s04w4', '/m/09x0r']",True
177,0L_HP5soc8o,30.000,40.000,"['/m/07sq110', '/m/09x0r', '/t/dd00125']",True
178,0LzOVxgOoO0,10.000,20.000,"['/m/01j3sz', '/m/09x0r']",True
179,0MWno7YOWK4,50.000,60.000,"['/m/028ght', '/m/05zppz', '/m/07rgt08']",True
180,0Mu7Q66ojvY,140.000,150.000,"['/m/01j3sz', '/m/07rgt08', '/m/09x0r', '/m/0ytgt']",True
181,0Nd8NBZVOCw,70.000,80.000,"['/m/01j3sz', '/m/07s04w4', '/m/09x0r']",True
182,0NhQO645U80,0.000,10.000,"['/m/01j3sz', '/m/09x0r']",True
183,0OKELwyAi5E,60.000,70.000,"['/m/01j3sz', '/m/04rlf', '/m/09x0r', '/t/dd00001']",True
184,0Ovr9qYvfe8,440.000,450.000,"['/m/04rlf', '/m/09x0r', '/t/dd00001']",True
185,0P2DEMKJbpY,160.000,170.000,"['/m/01j3sz', '/m/09x0r', '/t/dd00125']",True
186,0P8fariLe7M,80.000,90.000,"['/m/01j3sz', '/m/09x0r']",True
187,0Ppdzx_Ie0o,0.000,10.000,"['/m/01j3sz', '/m/09x0r', '/m/0lyf6']",True
188,0Q1T9RuTAnE,40.000,50.000,"['/m/01j3sz', '/m/07r660_', '/t/dd00001']",True
189,0Q6s0Q1aRDU,30.000,40.000,"['/m/01j3sz', '/m/09x0r']",True
190,0QJLKETZkQM,30.000,40.000,['/m/07rgt08'],True
191,0QjkT8qwsK4,30.000,40.000,"['/m/04rlf', '/m/07rgt08', '/m/09x0r']",True
192,0RXgFs2ZOmU,30.000,40.000,"['/m/01j3sz', '/m/09x0r']",True
193,0S_OHVlYBts,10.000,20.000,"['/m/07rgt08', '/m/09x0r']",True
194,0TIMlZcjYvk,380.000,390.000,['/m/01j3sz'],True
195,0TR7wGgzIKw,10.000,20.000,"['/m/01j3sz', '/m/09x0r']",True
196,0U6Ys0hJVvE,50.000,60.000,"['/m/01j3sz', '/m/09x0r']",True
197,0URpSy_coNQ,150.000,160.000,['/m/01j3sz'],True
198,0UnibMux_ac,40.000,50.000,"['/m/015p6', '/m/01j3sz', '/m/068hy']",True
199,0VeCqFvVUQg,40.000,50.000,"['/m/01j3sz', '/m/02p3nc', '/t/dd00001']",True
200,0W25rR-M0zA,70.000,80.000,"['/m/01j3sz', '/m/09x0r']",True
201,0WOwZJ9G2N8,110.000,120.000,"['/m/04rlf', '/m/07rgt08', '/m/09x0r']",True
202,0WTV6V4Qllo,0.000,10.000,"['/m/01j3sz', '/m/04rlf']",True
203,0Wk2PvKpMe0,0.000,10.000,"['/m/09x0r', '/t/dd00001']",True
204,0X0_gJP0gDA,100.000,110.000,"['/m/01j3sz', '/m/09x0r']",True
205,0XIncbNbIP0,270.000,280.000,['/m/01j3sz'],True
206,0XWSEg4D9Rs,30.000,40.000,"['/m/01j3sz', '/m/02p3nc', '/m/09x0r']",True
207,0XeE29Eks4M,30.000,40.000,"['/m/04rlf', '/m/07rgt08', '/m/09x0r']",True
208,0Xsny5M-hyE,140.000,150.000,"['/m/07rgt08', '/m/07s04w4', '/m/09x0r', '/m/0ytgt']",True
209,0Y-weqqGWF8,0.000,10.000,"['/m/09x0r', '/m/0ytgt', '/t/dd00001']",True
210,0YIm26DJWmY,10.000,20.000,"['/m/01j3sz', '/m/04rlf']",True
211,0Z-kmsxJL84,30.000,40.000,"['/m/04rlf', '/m/07s04w4']",True
212,0ZlVKMl3qyw,21.000,31.000,"['/m/04rlf', '/m/07rgt08']",True
213,0ZmBoEqAZBA,30.000,40.000,"['/m/07s04w4', '/m/09x0r']",True
214,0ZySBYLfDqk,0.000,10.000,"['/m/07s04w4', '/m/09x0r']",True
215,0_dPlaI3bJo,21.000,31.000,"['/m/01j3sz', '/m/07r660_', '/m/07sq110']",True
216,0_dhbCGDuio,60.000,70.000,"['/m/07s04w4', '/m/09x0r']",True
217,0_o3zAgAz-I,90.000,100.000,"['/m/01j3sz', '/m/09x0r', '/t/dd00001']",True
218,0asdEtc9_3s,60.000,70.000,"['/m/07sq110', '/m/0ytgt']",True
219,0b_QHH3cnJw,130.000,140.000,"['/m/01j3sz', '/m/09x0r']",True
220,0cIAYwY_cno,130.000,140.000,"['/m/04rlf', '/m/07sq110', '/m/09x0r', '/t/dd00125']",True
221,0cSIGg0dZWM,100.000,110.000,"['/m/07r660_', '/m/09x0r', '/m/0ytgt']",True
222,0cx9LNe9eDk,40.000,50.000,['/m/01j3sz'],True
223,0dIKPNqqxhw,90.000,100.000,"['/m/01j3sz', '/t/dd00001']",True
224,0di55Yw-YYE,60.000,70.000,"['/m/07r660_', '/m/09x0r', '/m/0ytgt', '/t/dd00001']",True
225,0dku4e805tY,130.000,140.000,['/m/01j3sz'],True
226,0eaafXX-pPE,30.000,40.000,"['/m/01j3sz', '/m/09x0r', '/t/dd00001']",True
227,0ebxeHSNiIM,50.000,60.000,"['/m/07s04w4', '/m/0ytgt']",True
228,0erMv3RlX3k,30.000,40.000,"['/m/01j3sz', '/m/09x0r']",True
229,0fop5rKtrRY,30.000,40.000,"['/m/01j3sz', '/m/09x0r', '/t/dd00125']",True
230,0gKWarc8e7E,240.000,250.000,"['/m/04rlf', '/m/07s04w4', '/m/09x0r']",True
231,0gohHMCpQik,250.000,260.000,"['/m/09x0r', '/t/dd00001', '/t/dd00125']",True
232,0gpJYhcTWAM,10.000,20.000,"['/m/02fs_r', '/m/07r660_', '/m/0ytgt']",True
233,0j9D_QXVsU4,110.000,120.000,"['/m/01j3sz', '/m/09x0r']",True
234,0jcxtYs2B7Q,10.000,20.000,['/m/01j3sz'],True
235,0k5EuyFZYpM,60.000,70.000,"['/m/07rgt08', '/m/09x0r']",True
236,0l1acpkziXE,140.000,150.000,"['/m/03qc9zr', '/m/07r660_', '/m/09x0r']",True
237,0lBXGXLoGpo,70.000,80.000,"['/m/01j3sz', '/m/02p3nc', '/m/04rlf', '/m/09x0r']",True
238,0loTD5XebiQ,20.000,30.000,"['/m/0261r1', '/m/07rgt08', '/m/0ytgt']",True
239,0mHQgwVYETI,30.000,40.000,"['/m/07s04w4', '/m/09x0r']",True
240,0mUul9MOKAU,10.000,20.000,['/m/01j3sz'],True
241,0m_goFeDmTM,50.000,60.000,"['/m/07r660_', '/m/09x0r']",True
242,0muAKahNzYc,20.000,30.000,"['/m/01j3sz', '/m/09x0r']",True
243,0n1MMHO1fVE,20.000,30.000,['/m/01j3sz'],True
244,0n277mRByWo,50.000,60.000,"['/m/01j3sz', '/m/02zsn', '/m/07rgt08', '/m/09x0r']",True
245,0nFXgrgdfW0,0.000,10.000,['/m/07r660_'],True
246,0nU_y9EBH3E,30.000,40.000,['/m/07r660_'],True
247,0nfvljVJo14,30.000,40.000,"['/m/04rlf', '/m/07rgt08', '/m/09x0r']",True
248,0oeoOHIR6zI,40.000,50.000,['/m/07s04w4'],True
249,0qH8FmqGI2U,0.000,10.000,['/m/01j3sz'],True
250,0qcr7L4Fk18,30.000,40.000,"['/m/04rlf', '/m/07s04w4']",True
251,0r3LybLuSkk,10.000,20.000,['/m/01j3sz'],True
252,0rFU8ieaYc4,40.000,50.000,['/m/07s04w4'],True
253,0rnm40dILbU,350.000,360.000,['/m/01j3sz'],True
254,0sBXDgKfU_c,10.000,20.000,['/m/07rgt08'],True
255,0tFQhwsYmQg,26.000,36.000,"['/m/07rgt08', '/m/09x0r']",True
256,0taZldxMK1Q,60.000,70.000,"['/m/01j3sz', '/m/09x0r', '/t/dd00001']",True
257,0uJFVlaLwJ4,320.000,330.000,"['/m/015lz1', '/m/07r660_', '/m/07sq110', '/m/09x0r', '/t/dd00125']",True
258,0ulZUDkzC-4,40.000,50.000,['/m/01j3sz'],True
259,0uyMSNwmmck,30.000,40.000,['/m/01j3sz'],True
260,0vGLz3G1lUk,10.000,20.000,['/m/01j3sz'],True
261,0veDhPQRouw,70.000,80.000,"['/m/01j3sz', '/m/09x0r']",True
262,0vw9f02o1UU,230.000,240.000,"['/m/04rlf', '/m/07rgt08', '/m/09x0r']",True
263,0vyu-7saZkY,90.000,100.000,"['/m/01j3sz', '/m/09x0r']",True
264,0zJ9l-FTtYQ,390.000,400.000,['/m/01j3sz'],True
265,1-OdFDcotd4,30.000,40.000,"['/m/07rgt08', '/m/09x0r']",True
266,1-RyXLlceEE,20.000,30.000,"['/m/07s04w4', '/m/09x0r']",True
267,10wA970vOoA,30.000,40.000,"['/m/01j3sz', '/m/04rlf', '/t/dd00001']",True
268,11xUEc-AqEI,90.000,100.000,"['/m/01j3sz', '/m/09x0r', '/t/dd00001']",True
269,12Au-be4Qrc,30.000,40.000,"['/m/07s04w4', '/m/09x0r']",True
270,12OUn0VorwM,70.000,80.000,"['/m/01j3sz', '/m/09x0r']",True
271,13AMLEH6qXU,300.000,310.000,"['/m/07rgt08', '/m/09x0r']",True
272,144HjFkY-7A,30.000,40.000,"['/m/07r660_', '/m/09x0r']",True
273,14QEjhbLsDI,270.000,280.000,['/m/01j3sz'],True
274,14Y72r4KHos,70.000,80.000,"['/m/01j3sz', '/m/0261r1', '/m/02p3nc']",True
275,14qxiF4eouo,270.000,280.000,['/m/01j3sz'],True
276,155yHgQD87Q,20.000,30.000,"['/m/01j3sz', '/m/09x0r']",True
277,15KYBbP_Smc,170.000,180.000,"['/m/01j3sz', '/m/07sq110']",True
278,16LLYIkdVL4,0.000,10.000,"['/m/07s04w4', '/m/09x0r', '/m/0ytgt', '/t/dd00013']",True
279,16txnh0DuuE,30.000,40.000,"['/m/07rgt08', '/m/09x0r']",True
280,17LTTdyz0qs,30.000,40.000,"['/m/01j3sz', '/m/09x0r']",True
281,17OqptEZ-w8,30.000,40.000,"['/m/01j3sz', '/m/04rlf']",True
282,17QDr_By3j8,20.000,30.000,"['/m/01j3sz', '/m/09x0r']",True
283,183DY7N10HE,20.000,30.000,"['/m/01j3sz', '/m/02p3nc', '/m/04rlf']",True
284,18L7Pi6Xw-w,30.000,40.000,"['/m/04rlf', '/m/07r660_', '/m/09x0r']",True
285,18x-buOwgDg,20.000,30.000,"['/m/01j3sz', '/m/09x0r']",True
286,19uyW5r4LgI,30.000,40.000,"['/m/04rlf', '/m/07s04w4', '/m/09x0r']",True
287,1AfMQBostTA,30.000,40.000,"['/m/04rlf', '/m/07s04w4', '/m/09x0r']",True
288,1AgRzyURHyM,40.000,50.000,['/m/01j3sz'],True
289,1AmCFlYzeL4,30.000,40.000,"['/m/07rgt08', '/m/09x0r']",True
290,1BFKty-ICOs,250.000,260.000,"['/m/07r660_', '/m/09x0r']",True
291,1C8MLki8pR4,170.000,180.000,['/m/01j3sz'],True
292,1CmB3kk32mg,230.000,240.000,"['/m/01j3sz', '/m/09x0r']",True
293,1DuEtnA-yWo,90.000,100.000,"['/m/01j3sz', '/m/09x0r']",True
294,1Eb_BTzbRKI,10.000,20.000,"['/m/01j3sz', '/m/09x0r', '/t/dd00001', '/t/dd00125']",True
