youtube_id,time_start,time_end,label
85W4kJEj8as,166,176,cooking egg
8e2aBVRHZdI,114,124,cooking egg
8m14EDVhnNc,63,73,cooking egg
8rf5Bq6NrE4,0,10,cooking egg
8vOfw9FXtn0,0,10,cooking egg
91ctEhGwfhc,63,73,cooking egg
93px3JAYhpk,63,73,cooking egg
98S_e01BbuE,11,21,cooking egg
9fSVa5w85d0,32,42,cooking egg
9lGDPvPJfv4,0,10,cooking egg
9OcGr0Qwnvk,53,63,cooking egg
9QFSgTtDCYc,90,100,cooking egg
9w2qbTJDSnI,162,172,cooking egg
9x7-GYIxMjI,180,190,cooking egg
A75NH9qrZr4,47,57,cooking egg
a9fVMm3bHYs,4,14,cooking egg
aazP6zvJmiQ,41,51,cooking egg
aejDWhHx4qs,121,131,cooking egg
AEmmD1tgdWs,204,214,cooking egg
AfNh8Z2cw_8,100,110,cooking egg
AgDTKoDJ9ic,5,15,cooking egg
aifqco3Ef18,6,16,cooking egg
amElBZdqMZo,16,26,cooking egg
AotI-kuW6as,28,38,cooking egg
ASu3Xw6JM1w,181,191,cooking egg
AtoP-cAc4a0,117,127,cooking egg
AwEMefg3qsw,96,106,cooking egg
AZC55DQwrRA,37,47,cooking egg
B74lcdr1EZQ,41,51,cooking egg
B7xIVtUnUvw,5,15,cooking egg
bb0sHn7SyeE,96,106,cooking egg
bB7is27JCzM,47,57,cooking egg
bdG-ruxa9eM,43,53,cooking egg
bgAdLWEm01g,60,70,cooking egg
bnWUFH7L0Mo,166,176,cooking egg
bozU7731A1k,489,499,cooking egg
btYmH9qrXo8,107,117,cooking egg
bzkz4mDp-NU,103,113,cooking egg
B_GArqtmEOA,12,22,cooking egg
cCpDwxU7xi0,94,104,cooking egg
cCRop_vfl2E,40,50,cooking egg
CdE99DgtrzQ,76,86,cooking egg
CeyOVxjhGkM,156,166,cooking egg
cMEtbAWlaks,181,191,cooking egg
cMXJho9kB5s,604,614,cooking egg
cniz4b7zF4E,167,177,cooking egg
csQSjmHhsXA,18,28,cooking egg
CSY96HR9VI8,58,68,cooking egg
cWEugrJ0i-A,13,23,cooking egg
CXycnnBnAr8,53,63,cooking egg
cyd4QLTlGH4,38,48,cooking egg
d3E1mPOLxn8,63,73,cooking egg
d9QsIP7THco,50,60,cooking egg
DCeYBfVT3NE,64,74,cooking egg
DC_9Dk5Jfts,61,71,cooking egg
DESTPru0h4k,15,25,cooking egg
dEwBOJizO2c,56,66,cooking egg
DFX28NEFY38,157,167,cooking egg
dgIJH3oN-O4,4,14,cooking egg
DitlzvyXEI8,36,46,cooking egg
DKkNi7enlUk,89,99,cooking egg
DmGS3V_gJyY,220,230,cooking egg
DmpgQXppSFw,33,43,cooking egg
dMXE-nn1OoY,45,55,cooking egg
dOjmaSELHW8,55,65,cooking egg
drgeT7GCzRY,432,442,cooking egg
DRy_h4NZHDI,609,619,cooking egg
dRZj1uMP7ao,186,196,cooking egg
DsYVl-jmRXk,336,346,cooking egg
DY5e-p9wQmc,98,108,cooking egg
dyZdnPkOzlU,25,35,cooking egg
d_vQWquKtBg,15,25,cooking egg
E05kxs4Bwg4,74,84,cooking egg
e9hvyM1nOn4,0,10,cooking egg
ecr5TOGcGR8,546,556,cooking egg
EItKCfEe7Jg,22,32,cooking egg
eJfnOEeJpM0,44,54,cooking egg
eMB47uUhr2E,63,73,cooking egg
ENKtS5yCT2o,53,63,cooking egg
eNr3rKQLz00,395,405,cooking egg
ePjsr4G9GQI,95,105,cooking egg
epr6hPBhqck,13,23,cooking egg
EVdP18P7liI,51,61,cooking egg
eWZDx2D9rU8,47,57,cooking egg
EWzITDtgy0o,216,226,cooking egg
EYNAGOp5iK0,34,44,cooking egg
e_H9rNFLlm8,175,185,cooking egg
f-MgL9lrLY4,93,103,cooking egg
F4si6zajw4A,17,27,cooking egg
f7ua2IHH6tE,484,494,cooking egg
FACwSzgYXBM,59,69,cooking egg
Fb96lHZgIqo,69,79,cooking egg
FeovW2BlEZE,86,96,cooking egg
fFsbNeZNerI,55,65,cooking egg
fh_eu0vFeZg,89,99,cooking egg
FjEravQDCbE,366,376,cooking egg
fjy2baFnNdY,2,12,cooking egg
FKAmY96tRUI,97,107,cooking egg
Fln2sbJMHFk,1293,1303,cooking egg
fLQAT_PcJ4k,49,59,cooking egg
FMEUAZecWO4,145,155,cooking egg
FMrwQ2Rsqqw,114,124,cooking egg
FnK-5KuCYP0,32,42,cooking egg
FpR8-BNA4a0,27,37,cooking egg
fs2drTBbaNA,82,92,cooking egg
g03EyVDVTlo,132,142,cooking egg
g1qK78kdWgA,33,43,cooking egg
G2xGZ9lliu8,6,16,cooking egg
G4MdWIAD-wU,68,78,cooking egg
G8bJ0mM1-j0,390,400,cooking egg
GawZIQKejyA,104,114,cooking egg
gBqh4Rtp_FA,58,68,cooking egg
GcfYJ7WvRVA,294,304,cooking egg
GcjEY57KOzE,242,252,cooking egg
GD1U2F1bwoo,19,29,cooking egg
Gf5htdt_Djg,107,117,cooking egg
gG3eBXvXiNw,10,20,cooking egg
gkafyJlP_bg,190,200,cooking egg
GoIebNv-bug,197,207,cooking egg
GsHJ8LCmHic,500,510,cooking egg
gtEWfT3tVeY,120,130,cooking egg
gTnioO3TlLo,182,192,cooking egg
guEr-_drQIw,244,254,cooking egg
gwFcgUJe9Sw,0,10,cooking egg
GXL5MuhB_KA,277,287,cooking egg
GYpuhN1LNBg,250,260,cooking egg
gYRIfbexiXE,13,23,cooking egg
H89ENzVtnlg,95,105,cooking egg
H9cJx_1yZ9w,11,21,cooking egg
HBoFpzrQokI,332,342,cooking egg
hCiGvnxRSmw,117,127,cooking egg
hFeT4BKzmbg,4,14,cooking egg
HHWrBqXGwtQ,550,560,cooking egg
HJqSjhNOMjY,143,153,cooking egg
HkhtkuhVtpo,381,391,cooking egg
hM8CfzDDyIg,158,168,cooking egg
HNHRKCBknuI,184,194,cooking egg
hRWxY4jx-P4,167,177,cooking egg
hsPB2QjeYvY,76,86,cooking egg
hVNPVVMc2P0,23,33,cooking egg
hVzfE0IylaE,79,89,cooking egg
I-RHvXLzNsk,55,65,cooking egg
IDYD6izT7Aw,20,30,cooking egg
ifWqG1F26iU,46,56,cooking egg
iIxKB-zb9EU,99,109,cooking egg
iJx7cviDseQ,51,61,cooking egg
iRcHQnM5jE8,156,166,cooking egg
ixy8K7FaQ2g,2,12,cooking egg
IYGdkHcjdUE,461,471,cooking egg
iyXBBXiVJSc,219,229,cooking egg
iz3nt2iMb7s,33,43,cooking egg
j5bKRQiSKmM,72,82,cooking egg
J5mpz8LDSYs,23,33,cooking egg
j92YA6J_y3I,14,24,cooking egg
jaHBXi6ns7A,64,74,cooking egg
jBNA7g15TW0,9,19,cooking egg
JbQeftEaqEo,317,327,cooking egg
JBxBe-PwUYM,464,474,cooking egg
Jd4OO8BCbhs,123,133,cooking egg
JE4Nb0p26ck,1,11,cooking egg
jG1FeO-9ZLA,293,303,cooking egg
jgJFzpDEaRg,80,90,cooking egg
jiEmvVp4jDs,83,93,cooking egg
Jjs-gwtdi1E,118,128,cooking egg
JLAOlBXIOiE,230,240,cooking egg
jotljYmRF-E,125,135,cooking egg
Jo_jPzT1CxA,50,60,cooking egg
JqQ9hRGoc3w,71,81,cooking egg
jRdA68GbUMg,104,114,cooking egg
jrdVpzOqH8E,112,122,cooking egg
JrRqG9Apt6g,103,113,cooking egg
JtzmB9_Jbws,120,130,cooking egg
Jvx3wT69CVI,460,470,cooking egg
K2bxls9LvwE,0,10,cooking egg
K3hGxEpuY2U,174,184,cooking egg
Kawj7Wp6ezU,62,72,cooking egg
KBRFpA4bQp4,19,29,cooking egg
Kb_4ulzI3og,31,41,cooking egg
KdnYOvppzB4,354,364,cooking egg
KftotGrIEEI,146,156,cooking egg
kjUe2gV15vg,180,190,cooking egg
Klbhe7sA9L0,66,76,cooking egg
kPtR2SeHzHY,281,291,cooking egg
kqE1_iPuUiU,366,376,cooking egg
Kr39nOsBUaw,42,52,cooking egg
kRS4c2uMTco,35,45,cooking egg
KupxQmR-yBE,38,48,cooking egg
L-gxM6KZIL0,129,139,cooking egg
L4PImy_rpWM,4,14,cooking egg
l7AaB-ZJvCM,57,67,cooking egg
l7t413Q1nEw,284,294,cooking egg
lF8RNya_2yo,108,118,cooking egg
LJ6DExWpeHM,58,68,cooking egg
LjV6gEb0FRY,249,259,cooking egg
LkbPBJCRYek,109,119,cooking egg
LLg0G6NwQg4,69,79,cooking egg
lLhJqhWoQHI,27,37,cooking egg
LLk1YeDxl5Q,60,70,cooking egg
LNtsnK8J0_4,286,296,cooking egg
LOKI9NK2k1Q,188,198,cooking egg
lT5LZf8kzEw,2,12,cooking egg
lVfYNqAmji0,33,43,cooking egg
LWX4Hk4_O7A,2,12,cooking egg
Lwz-jUQRmzo,87,97,cooking egg
mBzs10h5naI,200,210,cooking egg
MDVIzude51Y,38,48,cooking egg
metHWtJhUiI,43,53,cooking egg
meuUPPxqsl0,338,348,cooking egg
MfdDRKe73OE,82,92,cooking egg
MFokok6Oiuo,1,11,cooking egg
mnrybjI5IlA,42,52,cooking egg
mpDdxjvr8VE,75,85,cooking egg
MqHtdiRUqJE,40,50,cooking egg
mR4CxUQkBQE,17,27,cooking egg
Mwn8Czq_agk,576,586,cooking egg
n2a5kOlXgKY,13,23,cooking egg
n4ZzH3bh7xM,360,370,cooking egg
N71mjg7L_lU,238,248,cooking egg
N8txynkzJxM,59,69,cooking egg
NCpkj7WI87M,78,88,cooking egg
ndUYAPlNI4Y,1,11,cooking egg
neFhZpVK3zU,147,157,cooking egg
nExtuwVcNVk,150,160,cooking egg
NeZ-jYM9f0A,139,149,cooking egg
Nf2Wya3aEDo,173,183,cooking egg
NhGg6I_vDAM,79,89,cooking egg
NhK-IAjXCfk,320,330,cooking egg
npDO6IUrO_0,25,35,cooking egg
NVdIYppYCyo,76,86,cooking egg
nwvtd065KdE,75,85,cooking egg
N_m5Mwb6U5w,31,41,cooking egg
O4-DhBWibL4,36,46,cooking egg
O7G3K3WD568,254,264,cooking egg
o7J3FpFJ6WA,43,53,cooking egg
O9VMha_BCpA,25,35,cooking egg
OBRt1Lrt-3Q,30,40,cooking egg
oh312_uiFhA,11,21,cooking egg
oJ7vn22GZoE,106,116,cooking egg
OKqCfO1mxA8,6,16,cooking egg
OVBv5sNL2Jc,487,497,cooking egg
ozwowS_WADM,1,11,cooking egg
o_tE4DwjwYQ,27,37,cooking egg
P0l85qjVI1s,70,80,cooking egg
p1mGDiEbni4,203,213,cooking egg
P4IjNV3lZkQ,228,238,cooking egg
P57M2k4c8xI,107,117,cooking egg
p6tm1bLbGNs,153,163,cooking egg
p92BN87wtr0,123,133,cooking egg
P9tfFgaRrF8,156,166,cooking egg
Pgf40gHcUhY,162,172,cooking egg
PGPzZWo24Nc,507,517,cooking egg
pGsTVggy2tQ,116,126,cooking egg
PqWEzmyibY0,112,122,cooking egg
pSdN565KJIY,298,308,cooking egg
psHEX0XtdlA,47,57,cooking egg
Puj3Ya9JGZE,55,65,cooking egg
pX6bxjLhqNw,260,270,cooking egg
q6Aj8Axb2dY,124,134,cooking egg
q6YeMbnnZgA,65,75,cooking egg
QaZWT3ntDUM,44,54,cooking egg
QB7-J7wCtX4,58,68,cooking egg
QJ3MQwEYsmk,193,203,cooking egg
Qk8m7odd8Uc,10,20,cooking egg
Qm-kUlPKNKc,4,14,cooking egg
qpwd5jYIGMI,121,131,cooking egg
qSoPSY3O_jo,41,51,cooking egg
QTl2Z14pyv8,3,13,cooking egg
Queg4FyMwHM,186,196,cooking egg
qYW0VQeLgvk,176,186,cooking egg
QZr-hDRNLgk,0,10,cooking egg
r09Hgeb9-6s,694,704,cooking egg
r1OeEDN6yCQ,19,29,cooking egg
R1xXGSlenLY,58,68,cooking egg
r1ZvuOz3EFM,26,36,cooking egg
R9cMS-aAzHs,117,127,cooking egg
RAaplTVHqJE,157,167,cooking egg
raB_GQs4TX4,90,100,cooking egg
RcRlJ-eEN80,35,45,cooking egg
REQKryny2aI,54,64,cooking egg
RHqL5ZWxQyY,155,165,cooking egg
RJWJXGSuIPk,13,23,cooking egg
RP82xhyFhFI,537,547,cooking egg
rsHix4nWqns,116,126,cooking egg
rTxIlhLRfzw,67,77,cooking egg
ru0WysOXajI,136,146,cooking egg
rVj_AtRF6PM,43,53,cooking egg
RWV6vGdc3iI,62,72,cooking egg
Rx0sSGGg95g,59,69,cooking egg
R_FFth-CPsw,83,93,cooking egg
r_owxwCr89A,18,28,cooking egg
sAi8Q_G4aQU,96,106,cooking egg
sDyQoEHUOq4,262,272,cooking egg
sE5KHrkJ160,298,308,cooking egg
sFsKE7-8S8o,158,168,cooking egg
SGp5q9PSnl0,308,318,cooking egg
SLo93NDeF-Q,106,116,cooking egg
SMrnOSGe_b8,189,199,cooking egg
SosHRl7wkWM,11,21,cooking egg
sq-bxLp5_aI,347,357,cooking egg
srOM9l7kbq4,182,192,cooking egg
SUbvW_kHTBw,8,18,cooking egg
SUHu1R4752k,329,339,cooking egg
SUVk-giRxYs,46,56,cooking egg
syhW_WU7btU,107,117,cooking egg
syX02ZwgeP4,48,58,cooking egg
t2KMtxCb5LU,41,51,cooking egg
T3AI1eQ50iE,42,52,cooking egg
T6I2aZPohb0,172,182,cooking egg
T9fMs9q3PXE,28,38,cooking egg
TIDA4fzwaqA,5,15,cooking egg
tj4yGyNp5VI,23,33,cooking egg
TLP_9gcntzs,0,10,cooking egg
TOPRctiQChM,62,72,cooking egg
tsapoU_iiGw,2,12,cooking egg
tTjwDCq5928,95,105,cooking egg
tVBL6hq2m5c,4,14,cooking egg
Tw7Pf3UpQOw,194,204,cooking egg
TzymA_0u4wE,30,40,cooking egg
u-hXIbd3WF8,212,222,cooking egg
UbMEPS2CTbs,279,289,cooking egg
UDkV1kZHXeA,283,293,cooking egg
UE6iArkUkS8,210,220,cooking egg
UftFwdj7Ahw,324,334,cooking egg
UfWUgUpbQpo,49,59,cooking egg
Uh6zVcpj_E8,0,10,cooking egg
uipuqsuwoYQ,229,239,cooking egg
URvQeiNX4rA,126,136,cooking egg
UtFUkyCM0sE,16,26,cooking egg
uZrl7b0Y69Q,314,324,cooking egg
uZ_dexSeZAY,117,127,cooking egg
V321a0gC-y4,107,117,cooking egg
vATH7MFQP0Q,4,14,cooking egg
VB1GPq6-lKU,161,171,cooking egg
vdi-JPAjNm0,18,28,cooking egg
vi2equ4xFH4,72,82,cooking egg
viLPn6bcxD4,1,11,cooking egg
vlMsaMGMdJs,281,291,cooking egg
VmLs4G6Mhhw,518,528,cooking egg
VNkX7LbOoT0,302,312,cooking egg
vOZgDWNqPQc,53,63,cooking egg
Vph53if0tGU,251,261,cooking egg
vQMwAG8eI3k,139,149,cooking egg
VvJB223pZ6E,46,56,cooking egg
w-XMb1LSAYo,15,25,cooking egg
w2-Pk07h91I,34,44,cooking egg
W7-5mTic57I,1,11,cooking egg
WCKbEoMfUdo,200,210,cooking egg
WENHt_irJ84,132,142,cooking egg
wFOiyqURsZ4,292,302,cooking egg
WKHLsATeoh0,10,20,cooking egg
wMafvK49t44,133,143,cooking egg
WSg2ntg3YuM,35,45,cooking egg
wsIHyRyETKg,12,22,cooking egg
wUlOB7r6lWk,25,35,cooking egg
wUZk-uEef20,329,339,cooking egg
wyO-BoHlTvU,100,110,cooking egg
X27UADWty9o,63,73,cooking egg
X2kMsPMMyVA,48,58,cooking egg
x35D9TUpURA,217,227,cooking egg
X3CfNri9n8o,129,139,cooking egg
X6bu6C3sp5Q,75,85,cooking egg
xKPKCJnTsWc,171,181,cooking egg
xmL8b5bu_yQ,149,159,cooking egg
XqbuP60yuPo,75,85,cooking egg
xulovKBKMa0,68,78,cooking egg
XUNoVbqJMHE,113,123,cooking egg
xWSiBOeqon8,64,74,cooking egg
xWye4ctQXok,147,157,cooking egg
Y0PLFJf4r5g,13,23,cooking egg
y4G7kli_Pt8,92,102,cooking egg
YASt2nFiMNU,51,61,cooking egg
YjLagr1T880,36,46,cooking egg
yKPqXivY1os,55,65,cooking egg
ylxsckKglHM,22,32,cooking egg
YNFkGtrCpaA,33,43,cooking egg
yppgDL0Mn3g,259,269,cooking egg
yRVUR7yv9vo,255,265,cooking egg
yS4ccYx8UAU,48,58,cooking egg
Ywb5Y6fLgzI,53,63,cooking egg
yXnmUWf2u48,54,64,cooking egg
yXTxOoLUPEw,147,157,cooking egg
yY1bqfXj9lI,289,299,cooking egg
yYhry2i8t0k,21,31,cooking egg
YZKIXMeQjwg,18,28,cooking egg
Z01yyTxJUm0,20,30,cooking egg
z3dBGOxFpy0,417,427,cooking egg
ZBwUdPXVdaQ,69,79,cooking egg
ZcD5YUS0kSY,13,23,cooking egg
ZdLs4_OL-BA,98,108,cooking egg
ZdzhEwbuc1A,62,72,cooking egg
zd_sMszFdmQ,113,123,cooking egg
Zg2z9KCZaxE,13,23,cooking egg
Zj7cC6j7pNw,34,44,cooking egg
zQVjtQ1R6gc,13,23,cooking egg
ZS5C93Ljai4,51,61,cooking egg
zUCyETdzeaw,15,25,cooking egg
ZufxC1xUEbA,33,43,cooking egg
zw47RfVv7B8,61,71,cooking egg
zXHd1thp8mQ,69,79,cooking egg
zYYoQV9UnNw,1594,1604,cooking egg
ZzTv3vQNric,636,646,cooking egg
_cOAB4Neu5Q,237,247,cooking egg
_qsTt3oZ3rE,288,298,cooking egg
_yDLYnOd2q8,264,274,cooking egg
-7Jqn00FWHA,112,122,feeding fish
-BT1xG7BvjM,29,39,feeding fish
-jJvz1Ul23o,6,16,feeding fish
-uw6ynoFYog,26,36,feeding fish
-vWHTPm5Jc0,35,45,feeding fish
-vWpXbRi1XY,0,10,feeding fish
-xmuCTp-VGI,58,68,feeding fish
-YLF8MoFQ6U,17,27,feeding fish
00e8gcInKvs,198,208,feeding fish
00jZej9_xh8,53,63,feeding fish
07JFxr9qwVc,12,22,feeding fish
08gPg6wvJU4,1,11,feeding fish
09EdRj1Qli4,95,105,feeding fish
0bpbDvTs4is,20,30,feeding fish
0c-YOkQRe9I,2,12,feeding fish
0dnNTFCU0H4,1,11,feeding fish
0edh3q2VYZQ,23,33,feeding fish
0fF_tX7Nl9s,5,15,feeding fish
0GKDxzjXSdg,15,25,feeding fish
0H5e9yXIlv4,1,11,feeding fish
0mR_JpazrtA,19,29,feeding fish
0N8eKEPgrPk,1,11,feeding fish
0QILb4g09ZI,22,32,feeding fish
0rMk6fXr7Xk,34,44,feeding fish
0vlrwlay0c4,18,28,feeding fish
0wzBFCegdZI,32,42,feeding fish
0zINhjQnpYE,15,25,feeding fish
0Zrlc49uroo,29,39,feeding fish
14GQGPU0k9Q,11,21,feeding fish
17EMC6XiBM0,39,49,feeding fish
17VOafB2HfQ,6,16,feeding fish
199wW-kGQTY,1,11,feeding fish
1bTPTiiu_n4,51,61,feeding fish
1dtxniJ8kV8,6,16,feeding fish
1FSFiz6c8oc,11,21,feeding fish
1hEIUrfIHjQ,41,51,feeding fish
1IFV2kE323E,11,21,feeding fish
1mtVmMTgRQE,9,19,feeding fish
1OiHd2F15JM,16,26,feeding fish
1OQDvNtXwM8,7,17,feeding fish
1Rk27WDqzMA,61,71,feeding fish
1sIJrloxOzE,35,45,feeding fish
1ZoiEN_OpqA,293,303,feeding fish
2-44tHyZFU0,11,21,feeding fish
217BXNlUThY,5,15,feeding fish
23qRqe8SK8I,9,19,feeding fish
2a85gg0W_s4,0,10,feeding fish
2cE6NghNzvw,1,11,feeding fish
2cEOq3Um5rY,4,14,feeding fish
2Fu5ecMpev8,0,10,feeding fish
2OZphKP6fw0,27,37,feeding fish
2TdHf03Jih0,96,106,feeding fish
2VNCQ21IOK8,2,12,feeding fish
2VuJWchVUG0,110,120,feeding fish
2XoMTZ4bIGs,97,107,feeding fish
2_0uGU2l1OM,2,12,feeding fish
31BHYYn5VzQ,15,25,feeding fish
31ey03b0UKY,0,10,feeding fish
36J2xT7JjbY,40,50,feeding fish
3a_B8TWU5TI,3,13,feeding fish
3FL4nW3KL7w,25,35,feeding fish
3Gvur4N1I3c,103,113,feeding fish
3i496fB_un8,13,23,feeding fish
3mPj0kFviMo,2,12,feeding fish
3OlX1U_GJWo,0,10,feeding fish
3p_t8czBWFU,18,28,feeding fish
3RYHx8lnPWM,44,54,feeding fish
3vERvI8OUu0,1,11,feeding fish
3WQ-JISG13Q,15,25,feeding fish
44-QEQODl7k,11,21,feeding fish
4bqXPG1E4D4,25,35,feeding fish
4Dh5qQy2bsk,40,50,feeding fish
4f8kbYhS2UU,6,16,feeding fish
4kIsSG0ps5E,10,20,feeding fish
4OT_x82Kh1Y,102,112,feeding fish
4T1ZDEYrnj8,17,27,feeding fish
4tjANe0CE80,164,174,feeding fish
4Vb-TCAZ1IU,23,33,feeding fish
4vhcAkKSwhA,31,41,feeding fish
4XjzB0S7dlY,3,13,feeding fish
52J25KFQ644,51,61,feeding fish
5blzifxbN9I,12,22,feeding fish
5dc1UZI4h5w,1,11,feeding fish
5Dy6AE_JpVU,44,54,feeding fish
5EWH-IkY07w,46,56,feeding fish
5K4uHnVmoGA,155,165,feeding fish
5MQhwhAkjns,17,27,feeding fish
5r7d7IPBPNk,1,11,feeding fish
5tCXG77TPaU,17,27,feeding fish
5w5dUi5P1Ig,3,13,feeding fish
6-bmH4gZJ8Y,106,116,feeding fish
63BSzfCqOvg,19,29,feeding fish
63qfV___N80,4,14,feeding fish
63ZVs9W_8qw,11,21,feeding fish
6cw4xnnX1AA,24,34,feeding fish
6DBPB5OVEmU,40,50,feeding fish
6EXrRAcaMOA,25,35,feeding fish
6HnayuceLwg,12,22,feeding fish
6i6bsR0FEKE,322,332,feeding fish
6jGtvIFHdxI,17,27,feeding fish
6o7d-EvfEF8,5,15,feeding fish
6PkAFlnuT7E,32,42,feeding fish
6ptSXLwUaDk,13,23,feeding fish
6rbSICq31G4,0,10,feeding fish
78HQK3KRHn4,346,356,feeding fish
7QWcOonifYU,0,10,feeding fish
7uxLE7rwHBc,26,36,feeding fish
7xD_70Ij2lU,2,12,feeding fish
7ZH2_Cga-D8,60,70,feeding fish
872R-q59tOw,29,39,feeding fish
89jGIurkuJY,23,33,feeding fish
8CF6VS4ijQ4,5,15,feeding fish
8hJTThH2XY0,39,49,feeding fish
8hLNYin7urY,1,11,feeding fish
8ietXJzRi2Y,10,20,feeding fish
8oM1iiimimc,138,148,feeding fish
8paqIzrIBv8,28,38,feeding fish
8vOR4FPCwo4,14,24,feeding fish
93OSdU7Ry0g,21,31,feeding fish
99LLxDc_UsI,7,17,feeding fish
9BXb3e0FREQ,30,40,feeding fish
9dGJI25BduM,3,13,feeding fish
9DgODdresvY,54,64,feeding fish
9es2LdtwkMA,4,14,feeding fish
9h4HWMGKk_I,4,14,feeding fish
9iVTYs1yDqc,69,79,feeding fish
9KaF8Gs_XQM,53,63,feeding fish
9KDcLwclDi8,49,59,feeding fish
9n7WsmWcZQc,16,26,feeding fish
9uyyiuGfWZw,1,11,feeding fish
9WFRIFIcvEU,11,21,feeding fish
9YDRD92V6Rc,30,40,feeding fish
9YxJX4EIs4E,11,21,feeding fish
A-Rt0njkFOQ,0,10,feeding fish
A4G8F01BlQE,0,10,feeding fish
a4vT2jC_Ugw,43,53,feeding fish
A80U1rMaeWE,1,11,feeding fish
a9CrT1Q-kC8,1,11,feeding fish
A9oOKMud2gs,12,22,feeding fish
AbIeYMXASlM,5,15,feeding fish
ACHQ0KP6YcY,6,16,feeding fish
adyNBbXKwds,3,13,feeding fish
AE3WyhO2Hqc,83,93,feeding fish
ae6vj75Q3MY,26,36,feeding fish
aE_v4U8TGf4,73,83,feeding fish
aJ0T7UikQGY,21,31,feeding fish
aj9hLCZyMf4,17,27,feeding fish
AKovxKz6vIQ,103,113,feeding fish
APq9zOKBzBk,0,10,feeding fish
aPrc7lTizts,14,24,feeding fish
Aq6VzShfWjE,6,16,feeding fish
AVRT1Vt5Xbs,116,126,feeding fish
aY_Mp_27SrY,16,26,feeding fish
b-mhFMS-QqA,0,10,feeding fish
b1wJ-WjH6O4,43,53,feeding fish
B2E9KVog1z0,48,58,feeding fish
b37Kv737Vjo,165,175,feeding fish
b4yOrf39PmU,2,12,feeding fish
b7VBeh4QxtA,70,80,feeding fish
B8YpX1zvg6k,67,77,feeding fish
B8zKJ5ygJ04,68,78,feeding fish
b9nODBoXTcI,0,10,feeding fish
BAB7rYeP2eY,3,13,feeding fish
bArbgDzYuxA,136,146,feeding fish
bb9b4WyFz5w,172,182,feeding fish
BCjENcIT-Ds,10,20,feeding fish
bCMw1ecsksQ,38,48,feeding fish
BDSJEw7NRdw,24,34,feeding fish
BeXAvsOd1ww,1,11,feeding fish
bf6biJbMkYU,14,24,feeding fish
bFnbpNGAPFQ,80,90,feeding fish
BFpqm_0TsVU,32,42,feeding fish
bj5L_sMl35s,135,145,feeding fish
bLKntx_RZew,74,84,feeding fish
bmY5Ip8hLiU,0,10,feeding fish
bNq7NJLm0p8,91,101,feeding fish
Bo6dqrq5EDk,41,51,feeding fish
